date,discharge,smlt,ssrd,e,u10,v10,sp,skt
2008-02-26,149.0,0.0003308424894735,12397565.440416666,-0.1982219308724999,-0.0061257434583333,0.1818552232375,763.0245908333333,-12.770735547916669
2008-02-27,170.0,0.0004085111735166,12890422.729166666,-0.2336347905458333,-0.1652371905416666,0.24033109475,763.6243704166667,-10.037624405
2008-02-28,172.0,0.0004860064685958,11610896.432625,-0.2171901967130416,0.4478063206041667,0.1475148988458333,763.4851629166666,-7.63127771
2008-03-01,244.0,0.0005666838570625,11976513.201666666,-0.2480242865394166,0.079610020625,0.0548681189583333,759.2740204166666,-5.698048867083333
2008-03-02,228.0,0.0005379044526858,12597106.444370745,-0.25696126480225,-0.125979941875,0.1373157936666666,759.4866933333333,-5.14623257625
2008-03-03,201.0,0.0005987782907877,12128565.349882914,-0.2687976889704166,-0.1810724929583333,0.1392940620833333,757.9126004166666,-4.694661448333333
2008-03-04,197.0,0.0006470144689927,12966801.496592812,-0.3084903762217083,-0.200397814125,0.25726989625,755.59029375,-4.84036376875
2008-03-05,172.0,0.0006715287368612,13052494.780390749,-0.2935991815841667,0.1522536330666666,0.1654575809583333,758.0499866666668,-3.65183259
2008-03-06,193.0,0.0005452606535958,11501746.044277498,-0.2597754722,-0.1061342737916666,-0.1794476582083333,762.4631016666667,-2.871442179166667
2008-03-07,217.0,0.0005690747913029,12649596.710507708,-0.3072435499487499,-0.1552489531833333,0.0354156222916666,761.4940816666667,-3.0207073983333337
2008-03-08,194.0,0.0005830026953612,14439588.326529168,-0.3547486938483333,0.2785520860416666,0.2511119420833333,760.65497625,-3.411965705416667
2008-03-09,240.0,0.000517052273075,14088872.20877625,-0.3322653319541667,0.4656339583333333,0.2456383860416666,761.2726174999999,-3.4918085416666664
2008-03-10,242.0,0.0005184450905658,14161535.39694125,-0.355053475975,0.6036264579583334,0.004776072125,761.80262875,-3.6143227208333335
2008-03-11,224.0,0.0005170542883465,14601224.470035834,-0.3843669313791666,-0.1357966238083333,0.35202572875,759.3475545833334,-3.3636944975
2008-03-12,241.0,0.0006003314623041,14475321.5801025,-0.4364530009083333,0.2554951594166667,0.2495869595833333,757.80654375,-2.279050129166667
2008-03-13,216.0,0.0006721435389983,14397231.946223332,-0.3925105755125,0.0392117812083333,-0.0541126691624999,758.4026787500001,-1.5222129666666664
2008-03-14,262.0,0.0007314221010779,14989664.450054169,-0.4339389322220833,-0.4424642016666666,0.0356660138333333,757.8317216666666,-0.7592481196941666
2008-03-15,244.0,0.0007852709051041,14820576.543879166,-0.4507995165583333,-0.1048296357916666,0.3952942891666666,755.2158675000001,-0.0799738499999999
2008-03-16,318.0,0.000794177331157,15169207.065508334,-0.4724824529833333,0.36815197625,0.5236599391666666,754.887025,0.3579088364166665
2008-03-17,321.0,0.0005757804238083,14448950.4120375,-0.4330465824541666,0.4136203216666667,0.1046866729583333,755.37686,0.0768013416666667
2008-03-18,311.0,0.0004051806843775,14117057.180145832,-0.4207319104833333,0.8382771479166666,0.1427322983333333,756.7787429166666,-1.2871729166666666
2008-03-19,284.0,0.0003929616129792,15870417.806620834,-0.442886694825,-0.184867361125,-0.1689528215,757.6541066666667,-2.36014681125
2008-03-20,282.0,0.0004187691357062,16486276.746833334,-0.4621724341270833,-0.8392502020833333,0.0123879902916666,757.66619875,-2.0845031166666668
2008-03-21,298.0,0.0004699230018261,16271212.234266669,-0.4791426948,-0.2951847327083333,0.2983845666666667,757.9780870833333,-1.27121474625
2008-03-22,309.0,0.0005468643099395,16297936.221166665,-0.5046131808458333,-0.3907881679166666,0.3349130654583334,758.2081225000001,-0.2408383399999999
2008-03-23,346.0,0.0005684253294793,16547679.663291669,-0.5505732639083333,0.30795836075,0.3868382065833333,759.2655954166667,0.1208483933333333
2008-03-24,362.0,0.0006734199958229,16687767.62925,-0.4918563150625,-0.2062387327916666,-0.0879730666833333,760.5302329166666,0.4034537524999999
2008-03-25,377.0,0.000695670490931,17004672.144166667,-0.5081522589208333,-0.2301705478041666,-0.01899246365,758.34850875,0.9276097583333334
2008-03-26,365.0,0.00065548279355,16365320.803833334,-0.494104234325,-0.0835689829166666,-0.1930592405416666,756.61121625,2.0041223683333333
2008-03-27,363.0,0.0006701245867516,16025180.093083335,-0.537542369725,-0.6005185679166667,-0.4847128183333333,757.1843525,2.00629936
2008-03-28,368.0,0.0006511989741256,15927769.115,-0.5483004008833333,-0.7758234816666666,-0.262488889125,759.7809658333334,1.2141151141666666
2008-03-29,369.0,0.0006644142123866,16368085.357166668,-0.5259532654833333,0.4235114214166666,0.0746038895833333,758.3788125,1.7478040458333333
2008-03-30,364.0,0.0006171404004832,16267881.994541667,-0.5311962075708333,-0.2974394516833333,-0.3737585192916666,758.93817,1.8136037291666665
2008-03-31,326.0,0.0005767516224828,16269377.32425,-0.5554991045166667,-0.4671032195833333,-0.2422844497916666,759.4929816666667,0.62057746125
2008-04-01,358.0,0.0005335946035029,17506673.324791666,-0.5697354139791667,-0.1050685194583333,0.1870848109583333,757.6599995833334,0.6216557833333333
2008-04-02,263.0,0.0005366835557904,17459863.06575,-0.5539262057375,0.2245121007083333,0.3308802438333333,755.8889983333333,1.0181109416666667
2008-04-03,305.0,0.0005663417037391,17491081.349083334,-0.5766367223416667,0.020033832,0.194213864875,754.21097875,1.9084129516666664
2008-04-04,320.0,0.0006000627340508,15946090.2025,-0.4800785026,-0.36430201125,0.202505084625,752.5362629166666,2.931086258333333
2008-04-05,356.0,0.000506871356175,14005692.232666666,-0.4679525677333333,-0.2615350058333333,0.2072909447916666,754.1577158333333,3.768946374583333
2008-04-06,309.0,0.0004605762106202,15243551.159791663,-0.5122379124833333,0.589000697125,0.4791111316666667,756.7257145833333,3.41294482625
2008-04-07,300.0,0.0003972268388695,14227550.395208336,-0.4685967977291667,0.7344887854166666,-0.0415025725,757.2126379166666,2.60836922125
2008-04-08,272.0,0.0004259237824604,16438467.746833334,-0.5666237626541667,0.2617679783333334,-0.0840314337083333,757.8689291666666,2.842700905833333
2008-04-09,277.0,0.0004320324193791,16238949.773083337,-0.5399975988791667,-0.37087919425,-0.2715053115,758.3868604166668,3.779015893333333
2008-04-10,283.0,0.0005551911309829,15986731.8625,-0.5784976924874999,-0.51917290625,0.0664280126666666,758.5612687500001,4.641883872916666
2008-04-11,493.0,0.0005921784034541,14921779.992916666,-0.5696664945083333,-0.122945366,0.0710295477755833,758.4387183333333,4.440622999166666
2008-04-12,445.0,0.0005921858458473,16241089.486666666,-0.6615441068625,0.3099085303333333,0.3114543256666667,757.9638733333333,4.00567245
2008-04-13,358.0,0.0005392732599276,17751241.050416667,-0.6959336256875001,0.41352567825,0.5141089029166667,756.6441595833334,3.688086180833333
2008-04-14,438.0,0.0004680763762724,15529670.265166668,-0.5759387767083334,0.1662604225416666,0.3519348685833333,755.2635858333333,4.378477740416667
2008-04-15,452.0,0.0005236718474208,14487615.619166669,-0.5683730679583333,0.3564659127916667,0.0727183215833333,755.7414116666667,4.42402012
2008-04-16,384.0,0.0005016309123579,16665590.563541666,-0.6885879579416666,0.9709416570833334,0.432879534,755.7839033333333,4.011969212416667
2008-04-17,323.0,0.00034642953858,17272307.13608333,-0.64666412375,1.0894425558333334,-0.04350555875,756.6523608333333,2.293604600833333
2008-04-18,341.0,0.0003386736300162,19239251.041666668,-0.7063433118875001,0.3932017110833333,-0.74445977875,757.89451125,1.3836097899999995
2008-04-19,385.0,0.0004265975892344,19426282.785416663,-0.7179729635416666,-0.5537234588333334,-0.5188196620833333,761.0367445833334,0.9891052383333332
2008-04-20,388.0,0.0005562021771664,20380753.021083333,-0.7861617160625,-1.0400576166666666,-0.0247348225833333,762.2219987499999,2.288837384166667
2008-04-21,392.0,0.0006579962909904,20311117.895,-0.8108249504583332,-0.6919182866666667,0.2027681451083333,760.4511854166667,3.946903245833333
2008-04-22,456.0,0.0007535880006787,19667281.457083333,-0.7921903533916667,-0.3031996997083333,0.3418526395833333,761.4484279166667,5.026512167916667
2008-04-23,565.0,0.000814970909132,18858089.430416662,-0.7589932182875,0.2761959766154166,0.3455564408333333,762.6694366666667,5.595209757916667
2008-04-24,559.0,0.0006837455505937,18950482.0175,-0.7835726420833334,0.0042414959166666,0.1856690840291666,762.7741566666667,6.04814015625
2008-04-25,437.0,0.0007488174028087,19596313.22583333,-0.8834526536041666,0.0946505699166666,-0.0072526806958333,763.18353375,6.392436935
2008-04-26,439.0,0.0008099860206812,20246320.679166667,-0.9136626169375,0.1564697914375,0.0160224385,762.7248316666668,7.43225344575
2008-04-27,493.0,0.0009422026774417,20448930.46625,-0.9036212762833332,0.7009929933333333,-0.0032760162749999,759.59118125,7.557311998125001
2008-04-28,522.0,0.0010176019379891,20583315.404166665,-0.8839718052958334,0.8710919854166667,-0.2466562040833333,757.1830416666667,7.360947943749999
2008-04-29,546.0,0.0011349728428562,20817686.93375,-0.9057329558625,0.1137820805770833,-0.0899452343875,756.0207895833333,8.429527277708333
2008-04-30,607.0,0.001025746447392,19132195.5825,-0.7958628513958333,1.248279722916667,-0.3574457847291667,756.71201875,8.10134374875
2008-05-01,579.0,0.0010783265382958,20148915.745,-0.8620580992208334,1.0186696055833333,-0.5853275223333333,756.9073758333334,8.162273327916667
2008-05-02,643.0,0.0010687078312386,21054133.136666667,-0.9137813872291668,-0.78168915375,-0.0054049514291666,757.4100445833334,8.759161634166666
2008-05-03,657.0,0.0012789657444266,20426076.440416668,-0.88814480975,-0.6562704108333334,0.00810902775,755.7605108333333,10.213947262416664
2008-05-04,762.0,0.0009926765509583,17657164.974999998,-0.7006713280416667,0.1531260543333333,0.4366494941666667,755.9660466666666,10.029736806666667
2008-05-05,735.0,0.0008823491906145,17224074.355,-0.7585986682916667,0.8183526166666666,-0.1321932716666666,757.12228125,9.349880156666666
2008-05-06,614.0,0.0007618412757108,18684245.06583333,-0.8775006916458333,0.2106236124583333,-0.3265319382083333,758.1917133333333,7.890440657083332
2008-05-07,537.0,0.0008462859584617,21447198.105833333,-0.9894493862291666,-0.9005015883333334,0.0630374469583333,758.3686362499999,9.086017585
2008-05-08,550.0,0.001068230018827,20887300.0675,-0.960730676625,-0.77183651625,0.0363952888333333,758.922025,10.512664775416669
2008-05-09,620.0,0.0012032036431114,19137505.742083333,-0.833673733875,-0.5910896129166666,-0.1099352983749999,758.65412375,11.222520260416664
2008-05-10,632.0,0.0014880068989879,18709429.999166667,-0.8571429471791667,-0.3698160095833333,-0.1523122015,758.7984154166667,11.601895595833334
2008-05-11,746.0,0.0015082898333908,19785559.49375,-0.9657641786541666,-0.1929411661666666,-0.2819801312208334,759.1381716666666,12.318140633333334
2008-05-12,795.0,0.0014775367442039,20048351.975,-0.9380237599416666,-0.2005688565,-0.29177390375,758.8462241666666,12.569900479166668
2008-05-13,832.0,0.001618616768558,20388776.965,-0.9332850538375,-0.2410123308333333,0.0027423716875,758.6161191666666,13.1949374475
2008-05-14,851.0,0.001678845085732,20589227.808333334,-1.0020428874791667,0.022545551,-0.15314676725,758.7047058333334,13.455509125
2008-05-15,912.0,0.0016182913429975,20031354.454166666,-0.973279818,-0.2097793426041666,-0.2040176780833333,758.8346766666667,13.889395358333331
2008-05-16,892.0,0.0015997575992832,18933936.245,-0.8887294962916666,0.1437973073333333,-0.469510865,760.40810375,13.495502491666668
2008-05-17,853.0,0.0015802113772624,18852795.785833333,-0.9529490366875,-0.50832860625,-0.92393948125,759.92221625,13.258521995833334
2008-05-18,931.0,0.0016682530775795,19859195.70833333,-1.004346252375,-0.3595984429166667,-0.6128359429166667,758.4272925,13.790884758333334
2008-05-19,1037.0,0.0016994164433012,19158323.760416668,-0.97682000075,0.1668534080166666,-0.3897244591666666,759.2762516666667,13.581568429166666
2008-05-20,1123.0,0.0017515115510673,20075237.745833334,-1.0078658844583332,-0.1740126325458333,-0.3531610564041667,758.9038270833333,13.965953891666668
2008-05-21,1163.0,0.0017024189684525,19885670.9425,-0.97960706375,-0.53643634875,-0.1705699390833333,756.66230375,14.024977300000002
2008-05-22,1267.0,0.0016670102483208,18307938.614166666,-0.8710878245624999,-0.0605814762083333,0.0378768463333333,755.7246449999999,13.770774983333332
2008-05-23,1263.0,0.0015951690937741,17766335.464166667,-0.93339634185,0.307753320875,0.0807102236958333,755.8060379166667,13.552775008333333
2008-05-24,1047.0,0.001550036485875,18152016.16541667,-1.0552573695416667,0.4883216277083334,-0.1669401182916666,756.3222108333333,13.255657183333334
2008-05-25,843.0,0.0012341859143833,17250290.395833332,-1.0653594490833334,-0.3001611817333333,-0.42578628625,756.4317933333333,12.9532572375
2008-05-26,753.0,0.0013087476942929,16100261.291666666,-1.1010015119166667,-0.0331528334583333,-0.4078561812499999,757.80087,11.615403591666668
2008-05-27,771.0,0.0012151738821458,17656158.705000002,-1.2496176869583333,0.3116903660833333,-0.0606124713208333,757.5829295833333,12.382888808333334
2008-05-28,696.0,0.0012676553676833,17499608.00166667,-1.240544741525,0.5706435375,-0.0002393556958333,757.54671,12.720544179166666
2008-05-29,717.0,0.0014575740542875,19628722.33625,-1.3658697498,0.0224847697625,-0.1502383571333333,758.08427625,14.010532320833336
2008-05-30,849.0,0.0014613856445741,20718203.329166666,-1.4358761249583332,0.277466276125,-0.0801119575416666,757.8308000000001,15.212393416666666
2008-05-31,1044.0,0.0014540183894962,20171084.03333333,-1.365079842375,0.5454564366666667,-0.1573256609999999,758.8413099999999,15.6287142
2008-06-01,1078.0,0.0014888727124458,20122007.286666665,-1.3219915774166666,0.1268670589833333,-0.3798701570833333,759.4976808333332,16.271968866666665
